City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,dawei,14.0833,98.2,24.96,95,100,4.33,MM,1722284900
257,floro,61.5996,5.0328,17.04,82,75,4.63,NO,1722284901
258,nuuk,64.1835,-51.7216,6.34,93,100,17.43,GL,1722284903
259,fuglafjordur,62.244,-6.814,11.26,86,63,6.55,FO,1722284904
260,ciudad constitucion,25.0369,-111.6644,35.61,23,38,6.69,MX,1722284905
261,banda aceh,5.5577,95.3222,27.09,74,100,1.84,ID,1722284907
262,namibe,-15.1961,12.1522,17.71,83,100,0.98,AO,1722284909
263,mouila,-1.8685,11.0559,24.36,66,7,1.43,GA,1722284910
264,abrantes,39.4667,-8.2,25.38,60,100,0.74,PT,1722284911
265,dumas,35.8656,-101.9732,40.9,10,0,1.54,US,1722284912
266,mehdia daira de meghila,35.4306,1.7571,31.47,27,47,6.0,DZ,1722284913
267,constantia,44.1833,28.65,23.38,70,0,2.88,RO,1722284915
268,sao joao da barra,-21.6403,-41.0511,26.05,79,0,7.46,BR,1722284916
269,alotau,-10.3069,150.4462,22.63,94,99,1.86,PG,1722284917
270,aykhal,66.0,111.5,6.65,82,13,3.62,RU,1722284918
271,weno,7.4515,151.8468,28.8,76,94,6.39,FM,1722284919
272,utrik,11.2278,169.8474,27.07,79,100,2.96,MH,1722284921
273,upington,-28.4478,21.2561,6.21,45,0,0.51,ZA,1722284922
274,crane,31.3974,-102.3501,35.05,34,29,7.98,US,1722284923
275,vila franca do campo,37.7167,-25.4333,24.23,78,32,2.3,PT,1722284924
276,misratah,32.3754,15.0925,26.85,62,0,3.59,LY,1722284925
277,sulak,43.2734,47.5146,24.36,66,0,8.52,RU,1722284927
278,st. john's,47.5649,-52.7093,27.93,45,0,10.29,CA,1722284929
279,margate,51.3813,1.3862,19.83,78,1,4.17,GB,1722284930
280,port lincoln,-34.7333,135.8667,9.09,51,0,5.59,AU,1722284932
281,tazovsky,67.4667,78.7,16.59,93,94,5.53,RU,1722284933
282,papao,-17.75,-149.55,27.82,84,14,10.79,PF,1722284934
283,wynyard,-41.0,145.7167,5.02,88,96,1.3,AU,1722284813
284,latnaya,51.6586,38.9011,16.94,36,11,3.5,RU,1722284936
285,kudahuvadhoo,2.6708,72.8944,28.8,75,100,2.61,MV,1722284937
286,cabo san lucas,22.8909,-109.9124,34.17,46,20,3.09,MX,1722284939
287,susuman,62.7833,148.1667,13.96,64,100,3.64,RU,1722284940
288,inirida,3.8653,-67.9239,28.02,71,91,1.38,CO,1722284941
289,rajmahal,25.05,87.8333,28.55,87,100,2.52,IN,1722284942
290,suva,-18.1416,178.4415,23.71,64,40,3.09,FJ,1722284944
291,hami,42.8,93.45,32.12,21,0,6.87,CN,1722284945
292,cabinda,-5.55,12.2,22.08,88,40,3.09,AO,1722284946
293,altus,34.6381,-99.334,38.04,33,0,9.26,US,1722284947
294,ingeniero luis a. huergo,-39.0833,-67.2333,13.26,28,11,9.84,AR,1722284948
295,sao vicente,-23.9631,-46.3919,22.93,66,0,1.34,BR,1722284950
296,san antonio de pale,-1.4014,5.6325,22.45,80,100,4.87,GQ,1722284951
297,adolfo lopez mateos,28.4667,-107.3,28.29,24,52,5.92,MX,1722284952
298,antigonish,45.6169,-61.9986,29.42,74,15,4.92,CA,1722284953
299,sibolga,1.7427,98.7792,25.47,81,64,1.62,ID,1722284954
300,dunedin,-45.8742,170.5036,4.89,81,100,1.34,NZ,1722284926
301,rocha,-34.4833,-54.3333,7.74,64,5,3.06,UY,1722284957
